data_id,sensor_id,sensor_name,timestamp,measurement_type,value
620,446400103,Soil Moisture Sensor,1748792632,moisture,3179.0
621,446400103,Soil Moisture Sensor,1748792638,moisture,2644.0
622,446400103,Soil Moisture Sensor,1748792644,moisture,3474.0
623,446400103,Soil Moisture Sensor,1748792650,moisture,3649.0
624,446400103,Soil Moisture Sensor,1748792657,moisture,2766.0
625,446400103,Soil Moisture Sensor,1748792663,moisture,2615.0
626,446400103,Soil Moisture Sensor,1748792669,moisture,2515.0
627,446400103,Soil Moisture Sensor,1748792673,moisture,2512.0
628,446400103,Soil Moisture Sensor,1748792679,moisture,2463.0
629,446400103,Soil Moisture Sensor,1748792689,moisture,2328.0
630,446400103,Soil Moisture Sensor,1748792692,moisture,2253.0
631,446400103,Soil Moisture Sensor,1748792698,moisture,2208.0
632,446400103,Soil Moisture Sensor,1748792742,moisture,1820.0
633,446400103,Soil Moisture Sensor,1748792748,moisture,1827.0
634,446400103,Soil Moisture Sensor,1748792752,moisture,2074.0
635,446400103,Soil Moisture Sensor,1748792758,moisture,1671.0
636,446400103,Soil Moisture Sensor,1748792769,moisture,1776.0
637,446400103,Soil Moisture Sensor,1748792774,moisture,1793.0
638,446400103,Soil Moisture Sensor,1748792778,moisture,2411.0
639,446400103,Soil Moisture Sensor,1748792784,moisture,2061.0
640,446400103,Soil Moisture Sensor,1748792790,moisture,2337.0
668,446400101,Temperature Sensor,1749137948,temperature,15.0
668,446400101,Temperature Sensor,1749137948,humidity,58.0
669,446400101,Temperature Sensor,1749137953,temperature,15.0
669,446400101,Temperature Sensor,1749137953,humidity,58.0
670,446400101,Temperature Sensor,1749137957,temperature,15.0
670,446400101,Temperature Sensor,1749137957,humidity,58.0
671,446400101,Temperature Sensor,1749137962,temperature,15.0
671,446400101,Temperature Sensor,1749137962,humidity,58.0
672,446400101,Temperature Sensor,1749137967,temperature,15.0
672,446400101,Temperature Sensor,1749137967,humidity,58.0
673,446400101,Temperature Sensor,1749137971,temperature,15.0
673,446400101,Temperature Sensor,1749137971,humidity,58.0
674,446400101,Temperature Sensor,1749137981,temperature,15.0
674,446400101,Temperature Sensor,1749137981,humidity,60.0
675,446400101,Temperature Sensor,1749137985,temperature,15.0
675,446400101,Temperature Sensor,1749137985,humidity,60.0
676,446400101,Temperature Sensor,1749137990,temperature,15.0
676,446400101,Temperature Sensor,1749137990,humidity,60.0
677,446400101,Temperature Sensor,1749137994,temperature,15.0
677,446400101,Temperature Sensor,1749137994,humidity,60.0
678,446400101,Temperature Sensor,1749138030,temperature,15.0
678,446400101,Temperature Sensor,1749138030,humidity,64.0
679,446400101,Temperature Sensor,1749138034,temperature,15.0
679,446400101,Temperature Sensor,1749138034,humidity,64.0
680,446400101,Temperature Sensor,1749138039,temperature,15.0
680,446400101,Temperature Sensor,1749138039,humidity,64.0
681,446400101,Temperature Sensor,1749138043,temperature,15.0
681,446400101,Temperature Sensor,1749138043,humidity,64.0
682,446400101,Temperature Sensor,1749138048,temperature,15.0
682,446400101,Temperature Sensor,1749138048,humidity,64.0
683,446400101,Temperature Sensor,1749138052,temperature,15.0
683,446400101,Temperature Sensor,1749138052,humidity,64.0
684,446400101,Temperature Sensor,1749138057,temperature,15.0
684,446400101,Temperature Sensor,1749138057,humidity,64.0
685,446400101,Temperature Sensor,1749138069,temperature,16.0
685,446400101,Temperature Sensor,1749138069,humidity,66.0
686,446400101,Temperature Sensor,1749138074,temperature,16.0
686,446400101,Temperature Sensor,1749138074,humidity,66.0
687,446400101,Temperature Sensor,1749138079,temperature,16.0
687,446400101,Temperature Sensor,1749138079,humidity,66.0
688,446400101,Temperature Sensor,1749138083,temperature,16.0
688,446400101,Temperature Sensor,1749138083,humidity,66.0
689,446400101,Temperature Sensor,1749138088,temperature,16.0
689,446400101,Temperature Sensor,1749138088,humidity,66.0
690,446400101,Temperature Sensor,1749138092,temperature,16.0
690,446400101,Temperature Sensor,1749138092,humidity,66.0
691,446400101,Temperature Sensor,1749138097,temperature,16.0
691,446400101,Temperature Sensor,1749138097,humidity,66.0
692,446400101,Temperature Sensor,1749138101,temperature,16.0
692,446400101,Temperature Sensor,1749138101,humidity,66.0
693,446400101,Temperature Sensor,1749138108,temperature,16.0
693,446400101,Temperature Sensor,1749138108,humidity,68.0
694,446400101,Temperature Sensor,1749138121,temperature,16.0
694,446400101,Temperature Sensor,1749138121,humidity,68.0
695,446400101,Temperature Sensor,1749138125,temperature,16.0
695,446400101,Temperature Sensor,1749138125,humidity,68.0
696,446400101,Temperature Sensor,1749138130,temperature,16.0
696,446400101,Temperature Sensor,1749138130,humidity,68.0
697,446400101,Temperature Sensor,1749138135,temperature,16.0
697,446400101,Temperature Sensor,1749138135,humidity,68.0
698,446400101,Temperature Sensor,1749138139,temperature,16.0
698,446400101,Temperature Sensor,1749138139,humidity,68.0
699,446400101,Temperature Sensor,1749138144,temperature,16.0
699,446400101,Temperature Sensor,1749138144,humidity,68.0
700,446400101,Temperature Sensor,1749138148,temperature,16.0
700,446400101,Temperature Sensor,1749138148,humidity,68.0
701,446400101,Temperature Sensor,1749138159,temperature,16.0
701,446400101,Temperature Sensor,1749138159,humidity,70.0
702,446400101,Temperature Sensor,1749138164,temperature,16.0
702,446400101,Temperature Sensor,1749138164,humidity,70.0
703,446400101,Temperature Sensor,1749138168,temperature,16.0
703,446400101,Temperature Sensor,1749138168,humidity,70.0
704,446400101,Temperature Sensor,1749138173,temperature,16.0
704,446400101,Temperature Sensor,1749138173,humidity,70.0
705,446400101,Temperature Sensor,1749138177,temperature,16.0
705,446400101,Temperature Sensor,1749138177,humidity,70.0
706,446400101,Temperature Sensor,1749138182,temperature,16.0
706,446400101,Temperature Sensor,1749138182,humidity,70.0
707,446400101,Temperature Sensor,1749138186,temperature,16.0
707,446400101,Temperature Sensor,1749138186,humidity,70.0
708,446400101,Temperature Sensor,1749138191,temperature,16.0
708,446400101,Temperature Sensor,1749138191,humidity,70.0
709,446400101,Temperature Sensor,1749138195,temperature,16.0
709,446400101,Temperature Sensor,1749138195,humidity,72.0
710,446400101,Temperature Sensor,1749138200,temperature,16.0
710,446400101,Temperature Sensor,1749138200,humidity,72.0
711,446400101,Temperature Sensor,1749138205,temperature,16.0
711,446400101,Temperature Sensor,1749138205,humidity,72.0
712,446400101,Temperature Sensor,1749138209,temperature,16.0
712,446400101,Temperature Sensor,1749138209,humidity,72.0
713,446400101,Temperature Sensor,1749138218,temperature,16.0
713,446400101,Temperature Sensor,1749138218,humidity,72.0
714,446400101,Temperature Sensor,1749138223,temperature,16.0
714,446400101,Temperature Sensor,1749138223,humidity,72.0
715,446400101,Temperature Sensor,1749138227,temperature,16.0
715,446400101,Temperature Sensor,1749138227,humidity,72.0
716,446400101,Temperature Sensor,1749138232,temperature,16.0
716,446400101,Temperature Sensor,1749138232,humidity,72.0
717,446400101,Temperature Sensor,1749138248,temperature,16.0
717,446400101,Temperature Sensor,1749138248,humidity,74.0
718,446400101,Temperature Sensor,1749138252,temperature,16.0
718,446400101,Temperature Sensor,1749138252,humidity,74.0
719,446400101,Temperature Sensor,1749138257,temperature,16.0
719,446400101,Temperature Sensor,1749138257,humidity,74.0
720,446400101,Temperature Sensor,1749138261,temperature,16.0
720,446400101,Temperature Sensor,1749138261,humidity,74.0
721,446400101,Temperature Sensor,1749138266,temperature,16.0
721,446400101,Temperature Sensor,1749138266,humidity,74.0
722,446400101,Temperature Sensor,1749138270,temperature,16.0
722,446400101,Temperature Sensor,1749138270,humidity,74.0
723,446400101,Temperature Sensor,1749138281,temperature,16.0
723,446400101,Temperature Sensor,1749138281,humidity,76.0
724,446400101,Temperature Sensor,1749138285,temperature,16.0
724,446400101,Temperature Sensor,1749138285,humidity,76.0
725,446400101,Temperature Sensor,1749138292,temperature,16.0
725,446400101,Temperature Sensor,1749138292,humidity,76.0
726,446400101,Temperature Sensor,1749138334,temperature,16.0
727,446400102,Humidity Sensor,1749138336,humidity,44.0
728,446400101,Temperature Sensor,1749138340,temperature,16.0
729,446400102,Humidity Sensor,1749138343,humidity,44.0
730,446400101,Temperature Sensor,1749138349,temperature,16.0
731,446400102,Humidity Sensor,1749138352,humidity,44.0
732,446400101,Temperature Sensor,1749138356,temperature,16.0
733,446400102,Humidity Sensor,1749138358,humidity,44.0
734,446400101,Temperature Sensor,1749138363,temperature,16.0
735,446400102,Humidity Sensor,1749138365,humidity,44.0
736,446400101,Temperature Sensor,1749138370,temperature,16.0
737,446400102,Humidity Sensor,1749138372,humidity,44.0
738,446400101,Temperature Sensor,1749138376,temperature,16.0
739,446400101,Temperature Sensor,1749138381,temperature,16.0
740,446400101,Temperature Sensor,1749138385,temperature,16.0
741,446400101,Temperature Sensor,1749138397,temperature,16.0
742,446400101,Temperature Sensor,1749138401,temperature,16.0
743,446400101,Temperature Sensor,1749138412,temperature,16.0
744,446400102,Humidity Sensor,1749138414,humidity,45.0
745,446400101,Temperature Sensor,1749138426,temperature,16.0
746,446400102,Humidity Sensor,1749138428,humidity,45.0
747,446400101,Temperature Sensor,1749138432,temperature,16.0
748,446400102,Humidity Sensor,1749138435,humidity,45.0
749,446400101,Temperature Sensor,1749138441,temperature,16.0
750,446400102,Humidity Sensor,1749138444,humidity,45.0
751,446400101,Temperature Sensor,1749138450,temperature,16.0
752,446400101,Temperature Sensor,1749138457,temperature,16.0
753,446400101,Temperature Sensor,1749138499,temperature,22.0
754,446400102,Humidity Sensor,1749138501,humidity,67.8
755,446400101,Temperature Sensor,1749138506,temperature,22.0
756,446400102,Humidity Sensor,1749138508,humidity,67.8
757,446400101,Temperature Sensor,1749138512,temperature,22.0
758,446400102,Humidity Sensor,1749138514,humidity,67.8
759,446400101,Temperature Sensor,1749138519,temperature,22.0
760,446400102,Humidity Sensor,1749138521,humidity,68.5
761,446400101,Temperature Sensor,1749138526,temperature,22.0
762,446400101,Temperature Sensor,1749138535,temperature,24.0
